title,author,journal,number,cites,year,cid,pubid,scholar_name,scholar_id
Sok: Preventing transaction reordering manipulations in decentralized finance,"L Heimbach, R Wattenhofer",Proceedings of the,4th ACM Conference on Advances in Financial Technologies …,97,2022,4851859544929246894,Y0pCki6q_DkC,Lioba Heimbach,CJgiaf0AAAAJ
Risks and returns of uniswap v3 liquidity providers,"L Heimbach, E Schertenleib, R Wattenhofer",Proceedings of the,4th ACM Conference on Advances in Financial Technologies …,90,2022,917660983561336178,_FxGoFyzp5QC,Lioba Heimbach,CJgiaf0AAAAJ
Eliminating Sandwich Attacks with the Help of Game Theory,"L Heimbach, R Wattenhofer",,2022 ACM Asia Conference on Computer and Communications Security (ASIA CCS …,75,2022,10314673415943694329,zYLM7Y9cAGgC,Lioba Heimbach,CJgiaf0AAAAJ
Behavior of liquidity providers in decentralized exchanges,"L Heimbach, Y Wang, R Wattenhofer",,"2021 Crypto Valley Conference on Blockchain Technology (CVCBT), Rotkreuz …",72,2021,93995474768875627,u-x6o8ySG0sC,Lioba Heimbach,CJgiaf0AAAAJ
Ethereum's Proposer-Builder Separation: Promises and Realities,"L Heimbach, L Kiffer, C Ferreira Torres, R Wattenhofer",Proceedings of the,"2023 ACM on Internet Measurement Conference, 406-420",60,2023,10581142431940111554,7PzlFSSx8tAC,Lioba Heimbach,CJgiaf0AAAAJ
Ride the lightning: The game theory of payment channels,"Z Avarikioti, L Heimbach, Y Wang, R Wattenhofer",Financial Cryptography and Data Security:,"24th International Conference, FC …",50,2020,"12665978203693825619,11045339156420192321",qjMakFHDy7sC,Lioba Heimbach,CJgiaf0AAAAJ
An Empirical Study of Market Inefficiencies in Uniswap and SushiSwap,"JA Berg, R Fritsch, L Heimbach, R Wattenhofer",The,"2nd Workshop on Decentralized Finance (DeFi), Grenada",45,2022,"8023136457067148937,16344704281012451112",Tyk-4Ss8FVUC,Lioba Heimbach,CJgiaf0AAAAJ
FnF-BFT: A BFT Protocol with Provable Performance Under Attack,"Z Avarikioti, L Heimbach, R Schmid, L Vanbever, R Wattenhofer, ...",Structural Information and Communication Complexity:,30th International …,44,2023,"16046682704499040612,2618868090220268741",L8Ckcad2t8MC,Lioba Heimbach,CJgiaf0AAAAJ
Ethereum proof-of-stake consensus layer: Participation and decentralization,"D Grandjean, L Heimbach, R Wattenhofer",International Conference on Financial Cryptography and Data Security,253-280,37,2024,11216961081647720189,IWHjjKOFINEC,Lioba Heimbach,CJgiaf0AAAAJ
Non-atomic arbitrage in decentralized finance,"L Heimbach, V Pahari, E Schertenleib",,"2024 IEEE Symposium on Security and Privacy (SP), 3866-3884",25,2024,11175343883572998255,mB3voiENLucC,Lioba Heimbach,CJgiaf0AAAAJ
DeFi Lending During The Merge,"L Heimbach, E Schertenleib, R Wattenhofer",Proceedings of the,5th Conference on Advances in Financial Technologies,20,2023,14416722898351440838,qxL8FJ1GzNcC,Lioba Heimbach,CJgiaf0AAAAJ
Defi and nfts hinder blockchain scalability,"L Heimbach, Q Kniep, Y Vonlanthen, R Wattenhofer",International Conference on Financial Cryptography and Data Security,291-309,18,2023,8038190646010662783,4DMP91E08xMC,Lioba Heimbach,CJgiaf0AAAAJ
Base Fee Manipulation In Ethereum's EIP-1559 Transaction Fee Mechanism,"S Azouvi, G Goren, L Heimbach, A Hicks",arXiv preprint arXiv:,:2304.11478,16,2023,4568545611073738917,QIV2ME_5wuYC,Lioba Heimbach,CJgiaf0AAAAJ
Sok: Attacks on DAOs,"R Feichtinger, R Fritsch, L Heimbach, Y Vonlanthen, R Wattenhofer",Proceedings of the,6th Conference on Advances in Financial Technologies,12,2024,"11389648721030847750,2309801137387697376",HDshCWvjkbEC,Lioba Heimbach,CJgiaf0AAAAJ
A fair and resilient decentralized clock network for transaction ordering,"A Constantinescu, D Ghinea, L Heimbach, Z Wang, R Wattenhofer",arXiv preprint arXiv:,:2305.05206,11,2023,12013619758342560167,9ZlFYXVOiuMC,Lioba Heimbach,CJgiaf0AAAAJ
Defi leverage,"L Heimbach, W Huang",Available at SSRN,4459384,10,2023,9012927520714199740,dhFuZR0502QC,Lioba Heimbach,CJgiaf0AAAAJ
Exploring price accuracy on uniswap v3 in times of distress,"L Heimbach, E Schertenleib, R Wattenhofer",Proceedings of the,2022 ACM CCS Workshop on Decentralized Finance and …,8,2022,15346618772117818058,ULOm3_A8WrAC,Lioba Heimbach,CJgiaf0AAAAJ
The potential of self-regulation for front-running prevention on dexes,"L Heimbach, E Schertenleib, R Wattenhofer",arXiv preprint arXiv:,:2306.05756,7,2023,3150839492790531454,ZeXyd9-uunAC,Lioba Heimbach,CJgiaf0AAAAJ
Short squeeze in defi lending market: Decentralization in jeopardy?,"L Heimbach, EG Schertenleib, R Wattenhofer",arXiv preprint arXiv:,:2302.04068,7,2023,13694186019300591418,aqlVkmm33-oC,Lioba Heimbach,CJgiaf0AAAAJ
Dissecting the eip-2930 optional access lists,"L Heimbach, Q Kniep, Y Vonlanthen, R Wattenhofer, P Züst",International Conference on Financial Cryptography and Data Security,292-302,5,2024,14994936375907733783,hFOr9nPyWt4C,Lioba Heimbach,CJgiaf0AAAAJ
